,coef,lat,lon
0,-8.5178e-09,-87.8638,357.188
0,-6.30568e-09,-87.8638,0
0,-6.32168e-09,-87.8638,2.8125
0,-9.77854e-09,-87.8638,5.625
0,-1.2577e-08,-87.8638,8.4375
0,-1.39133e-08,-87.8638,11.25
0,-1.54411e-08,-87.8638,14.0625
0,-1.24753e-08,-87.8638,16.875
0,-1.41026e-08,-87.8638,19.6875
0,-1.50956e-08,-87.8638,22.5
0,-1.4327e-08,-87.8638,25.3125
0,-1.35371e-08,-87.8638,28.125
0,-1.21523e-08,-87.8638,30.9375
0,-1.22338e-08,-87.8638,33.75
0,-7.32088e-09,-87.8638,36.5625
0,-6.04235e-09,-87.8638,39.375
0,-1.31719e-09,-87.8638,42.1875
0,2.25948e-09,-87.8638,45
0,2.788e-09,-87.8638,47.8125
0,6.74037e-09,-87.8638,50.625
0,1.30648e-08,-87.8638,53.4375
0,1.18051e-08,-87.8638,56.25
0,1.85295e-08,-87.8638,59.0625
0,2.85581e-08,-87.8638,61.875
0,3.59418e-08,-87.8638,64.6875
0,3.2983e-08,-87.8638,67.5
0,4.16632e-08,-87.8638,70.3125
0,5.0714e-08,-87.8638,73.125
0,5.49203e-08,-87.8638,75.9375
0,5.27917e-08,-87.8638,78.75
0,5.64863e-08,-87.8638,81.5625
0,5.53052e-08,-87.8638,84.375
0,5.73338e-08,-87.8638,87.1875
0,5.89201e-08,-87.8638,90
0,5.25537e-08,-87.8638,92.8125
0,4.41497e-08,-87.8638,95.625
0,3.77011e-08,-87.8638,98.4375
0,3.65437e-08,-87.8638,101.25
0,2.8851e-08,-87.8638,104.062
0,2.43151e-08,-87.8638,106.875
0,1.59145e-08,-87.8638,109.688
0,1.476e-08,-87.8638,112.5
0,4.94207e-09,-87.8638,115.312
0,-1.76583e-09,-87.8638,118.125
0,-7.63851e-09,-87.8638,120.938
0,-9.45019e-09,-87.8638,123.75
0,-1.21171e-08,-87.8638,126.562
0,-1.60966e-08,-87.8638,129.375
0,-2.33358e-08,-87.8638,132.188
0,-2.39032e-08,-87.8638,135
0,-2.41127e-08,-87.8638,137.812
0,-2.46559e-08,-87.8638,140.625
0,-2.80294e-08,-87.8638,143.438
0,-2.20346e-08,-87.8638,146.25
0,-2.19997e-08,-87.8638,149.062
0,-2.0347e-08,-87.8638,151.875
0,-1.80932e-08,-87.8638,154.688
0,-1.85815e-08,-87.8638,157.5
0,-1.52197e-08,-87.8638,160.312
0,-1.27863e-08,-87.8638,163.125
0,-9.47134e-09,-87.8638,165.938
0,-8.86444e-09,-87.8638,168.75
0,-1.10598e-08,-87.8638,171.562
0,-1.66163e-08,-87.8638,174.375
0,-1.65835e-08,-87.8638,177.188
0,-1.92313e-08,-87.8638,180
0,-1.95716e-08,-87.8638,182.812
0,-2.62194e-08,-87.8638,185.625
0,-3.31484e-08,-87.8638,188.438
0,-4.51668e-08,-87.8638,191.25
0,-6.93398e-08,-87.8638,194.062
0,-6.44887e-08,-87.8638,196.875
0,-5.41636e-08,-87.8638,199.688
0,-5.74824e-08,-87.8638,202.5
0,-3.93164e-08,-87.8638,205.312
0,-2.09206e-08,-87.8638,208.125
0,-2.29928e-09,-87.8638,210.938
0,5.76855e-09,-87.8638,213.75
0,8.46829e-09,-87.8638,216.562
0,5.56037e-09,-87.8638,219.375
0,2.67409e-09,-87.8638,222.188
0,-1.75564e-09,-87.8638,225
0,-5.06374e-09,-87.8638,227.812
0,-9.28459e-09,-87.8638,230.625
0,-1.70038e-08,-87.8638,233.438
0,-2.54082e-08,-87.8638,236.25
0,-3.62956e-08,-87.8638,239.062
0,-3.73958e-08,-87.8638,241.875
0,-4.29381e-08,-87.8638,244.688
0,-4.81108e-08,-87.8638,247.5
0,-5.24272e-08,-87.8638,250.312
0,-5.97676e-08,-87.8638,253.125
0,-6.52255e-08,-87.8638,255.938
0,-6.46728e-08,-87.8638,258.75
0,-6.35175e-08,-87.8638,261.562
0,-6.32899e-08,-87.8638,264.375
0,-6.55433e-08,-87.8638,267.188
0,-6.52794e-08,-87.8638,270
0,-6.66419e-08,-87.8638,272.812
0,-6.68836e-08,-87.8638,275.625
0,-6.54795e-08,-87.8638,278.438
0,-5.89467e-08,-87.8638,281.25
0,-5.37524e-08,-87.8638,284.062
0,-5.25273e-08,-87.8638,286.875
0,-4.95653e-08,-87.8638,289.688
0,-4.89123e-08,-87.8638,292.5
0,-5.22285e-08,-87.8638,295.312
0,-5.11524e-08,-87.8638,298.125
0,-4.93464e-08,-87.8638,300.938
0,-4.37854e-08,-87.8638,303.75
0,-4.12902e-08,-87.8638,306.562
0,-3.43588e-08,-87.8638,309.375
0,-3.26745e-08,-87.8638,312.188
0,-3.01987e-08,-87.8638,315
0,-2.77997e-08,-87.8638,317.812
0,-2.17792e-08,-87.8638,320.625
0,-2.18325e-08,-87.8638,323.438
0,-1.99595e-08,-87.8638,326.25
0,-1.57472e-08,-87.8638,329.062
0,-1.29547e-08,-87.8638,331.875
0,-1.12839e-08,-87.8638,334.688
0,-1.15052e-08,-87.8638,337.5
0,-1.18433e-08,-87.8638,340.312
0,-1.08049e-08,-87.8638,343.125
0,-9.71575e-09,-87.8638,345.938
0,-1.01478e-08,-87.8638,348.75
0,-6.71887e-09,-87.8638,351.562
0,-6.16478e-09,-87.8638,354.375
0,-6.25924e-08,87.8638,357.188
0,-5.90245e-08,87.8638,0
0,-6.66529e-08,87.8638,2.8125
0,-7.03964e-08,87.8638,5.625
0,-7.1119e-08,87.8638,8.4375
0,-6.75853e-08,87.8638,11.25
0,-7.4368e-08,87.8638,14.0625
0,-8.17573e-08,87.8638,16.875
0,-8.26864e-08,87.8638,19.6875
0,-8.33621e-08,87.8638,22.5
