,coef,lat,lon
0,2.80256e-09,-87.8638,357.188
0,1.24249e-08,-87.8638,0
0,1.31657e-08,-87.8638,2.8125
0,7.76537e-09,-87.8638,5.625
0,6.62823e-09,-87.8638,8.4375
0,5.10661e-09,-87.8638,11.25
0,4.0615e-09,-87.8638,14.0625
0,1.21568e-08,-87.8638,16.875
0,1.03775e-08,-87.8638,19.6875
0,9.95165e-09,-87.8638,22.5
0,1.53134e-08,-87.8638,25.3125
0,1.94966e-08,-87.8638,28.125
0,2.37182e-08,-87.8638,30.9375
0,2.58852e-08,-87.8638,33.75
0,4.02113e-08,-87.8638,36.5625
0,5.13073e-08,-87.8638,39.375
0,6.83961e-08,-87.8638,42.1875
0,7.54051e-08,-87.8638,45
0,8.85356e-08,-87.8638,47.8125
0,1.11983e-07,-87.8638,50.625
0,1.43865e-07,-87.8638,53.4375
0,1.42012e-07,-87.8638,56.25
0,1.84391e-07,-87.8638,59.0625
0,2.38426e-07,-87.8638,61.875
0,2.90417e-07,-87.8638,64.6875
0,2.85739e-07,-87.8638,67.5
0,3.41099e-07,-87.8638,70.3125
0,3.87233e-07,-87.8638,73.125
0,4.22348e-07,-87.8638,75.9375
0,4.20005e-07,-87.8638,78.75
0,4.46533e-07,-87.8638,81.5625
0,4.51507e-07,-87.8638,84.375
0,4.49942e-07,-87.8638,87.1875
0,4.54295e-07,-87.8638,90
0,4.27079e-07,-87.8638,92.8125
0,3.89246e-07,-87.8638,95.625
0,3.48994e-07,-87.8638,98.4375
0,3.46619e-07,-87.8638,101.25
0,3.0541e-07,-87.8638,104.062
0,2.69094e-07,-87.8638,106.875
0,2.29586e-07,-87.8638,109.688
0,2.28689e-07,-87.8638,112.5
0,1.88245e-07,-87.8638,115.312
0,1.56266e-07,-87.8638,118.125
0,1.29522e-07,-87.8638,120.938
0,1.27436e-07,-87.8638,123.75
0,1.09611e-07,-87.8638,126.562
0,9.28434e-08,-87.8638,129.375
0,7.32129e-08,-87.8638,132.188
0,7.47312e-08,-87.8638,135
0,7.1785e-08,-87.8638,137.812
0,6.64204e-08,-87.8638,140.625
0,5.72862e-08,-87.8638,143.438
0,7.19532e-08,-87.8638,146.25
0,7.15634e-08,-87.8638,149.062
0,7.46149e-08,-87.8638,151.875
0,8.01352e-08,-87.8638,154.688
0,8.2524e-08,-87.8638,157.5
0,8.9613e-08,-87.8638,160.312
0,9.68311e-08,-87.8638,163.125
0,1.03617e-07,-87.8638,165.938
0,1.06241e-07,-87.8638,168.75
0,1.14128e-07,-87.8638,171.562
0,1.08049e-07,-87.8638,174.375
0,1.17375e-07,-87.8638,177.188
0,1.16028e-07,-87.8638,180
0,1.15604e-07,-87.8638,182.812
0,1.09143e-07,-87.8638,185.625
0,9.99862e-08,-87.8638,188.438
0,8.1859e-08,-87.8638,191.25
0,4.81899e-08,-87.8638,194.062
0,5.12608e-08,-87.8638,196.875
0,6.01927e-08,-87.8638,199.688
0,4.23553e-08,-87.8638,202.5
0,5.51278e-08,-87.8638,205.312
0,6.53249e-08,-87.8638,208.125
0,8.04376e-08,-87.8638,210.938
0,8.89451e-08,-87.8638,213.75
0,9.49359e-08,-87.8638,216.562
0,9.66262e-08,-87.8638,219.375
0,1.03569e-07,-87.8638,222.188
0,1.06908e-07,-87.8638,225
0,1.10747e-07,-87.8638,227.812
0,1.11767e-07,-87.8638,230.625
0,1.07583e-07,-87.8638,233.438
0,1.03098e-07,-87.8638,236.25
0,9.39537e-08,-87.8638,239.062
0,1.0223e-07,-87.8638,241.875
0,9.79075e-08,-87.8638,244.688
0,9.91125e-08,-87.8638,247.5
0,9.44641e-08,-87.8638,250.312
0,8.70665e-08,-87.8638,253.125
0,7.91181e-08,-87.8638,255.938
0,8.34752e-08,-87.8638,258.75
0,8.53389e-08,-87.8638,261.562
0,8.32556e-08,-87.8638,264.375
0,7.57919e-08,-87.8638,267.188
0,7.65515e-08,-87.8638,270
0,6.98423e-08,-87.8638,272.812
0,6.3367e-08,-87.8638,275.625
0,5.74224e-08,-87.8638,278.438
0,5.96445e-08,-87.8638,281.25
0,6.07507e-08,-87.8638,284.062
0,5.23717e-08,-87.8638,286.875
0,4.90003e-08,-87.8638,289.688
0,4.1176e-08,-87.8638,292.5
0,3.03805e-08,-87.8638,295.312
0,2.51831e-08,-87.8638,298.125
0,1.99446e-08,-87.8638,300.938
0,1.88392e-08,-87.8638,303.75
0,1.36073e-08,-87.8638,306.562
0,1.79814e-08,-87.8638,309.375
0,1.50427e-08,-87.8638,312.188
0,1.52078e-08,-87.8638,315
0,1.6552e-08,-87.8638,317.812
0,2.43329e-08,-87.8638,320.625
0,2.10701e-08,-87.8638,323.438
0,2.19833e-08,-87.8638,326.25
0,2.80895e-08,-87.8638,329.062
0,3.04698e-08,-87.8638,331.875
0,3.07941e-08,-87.8638,334.688
0,2.4582e-08,-87.8638,337.5
0,2.0681e-08,-87.8638,340.312
0,1.72988e-08,-87.8638,343.125
0,1.68402e-08,-87.8638,345.938
0,1.10178e-08,-87.8638,348.75
0,9.24798e-09,-87.8638,351.562
0,7.18037e-09,-87.8638,354.375
0,3.47338e-07,87.8638,357.188
0,3.55195e-07,87.8638,0
0,3.41198e-07,87.8638,2.8125
0,3.35952e-07,87.8638,5.625
0,3.39273e-07,87.8638,8.4375
0,3.36834e-07,87.8638,11.25
0,3.16369e-07,87.8638,14.0625
0,3.08284e-07,87.8638,16.875
0,3.02729e-07,87.8638,19.6875
0,2.96411e-07,87.8638,22.5
0,2.88515e-07,87.8638,25.3125
0,2.67639e-07,87.8638,28.125
0,2.485e-07,87.8638,30.9375
0,2.29866e-07,87.8638,33.75
0,2.06102e-07,87.8638,36.5625
0,1.89861e-07,87.8638,39.375
0,1.88639e-07,87.8638,42.1875
0,1.78849e-07,87.8638,45
0,1.55833e-07,87.8638,47.8125
0,1.59803e-07,87.8638,50.625
0,1.5843e-07,87.8638,53.4375
0,1.59349e-07,87.8638,56.25
0,1.49565e-07,87.8638,59.0625
0,1.58576e-07,87.8638,61.875
0,1.62318e-07,87.8638,64.6875
0,1.75663e-07,87.8638,67.5
0,1.95011e-07,87.8638,70.3125
0,2.07347e-07,87.8638,73.125
0,2.25691e-07,87.8638,75.9375
0,2.37007e-07,87.8638,78.75
0,2.48801e-07,87.8638,81.5625
0,2.6924e-07,87.8638,84.375
0,2.6883e-07,87.8638,87.1875
0,2.79983e-07,87.8638,90
0,2.98267e-07,87.8638,92.8125
0,3.088e-07,87.8638,95.625
0,3.07764e-07,87.8638,98.4375
0,3.15917e-07,87.8638,101.25
0,3.25943e-07,87.8638,104.062
0,3.29501e-07,87.8638,106.875
0,3.27247e-07,87.8638,109.688
0,3.24561e-07,87.8638,112.5
0,3.41905e-07,87.8638,115.312
0,3.48332e-07,87.8638,118.125
0,3.53869e-07,87.8638,120.938
0,3.55684e-07,87.8638,123.75
0,3.53274e-07,87.8638,126.562
0,3.5565e-07,87.8638,129.375
0,3.56973e-07,87.8638,132.188
0,3.64505e-07,87.8638,135
0,3.70477e-07,87.8638,137.812
0,3.73899e-07,87.8638,140.625
0,3.80398e-07,87.8638,143.438
0,3.87451e-07,87.8638,146.25
0,4.00372e-07,87.8638,149.062
0,3.93346e-07,87.8638,151.875
0,3.91814e-07,87.8638,154.688
